Wall time,Step,Value
1752953217.625945,1,41.13557052612305
1752953237.820672,2,-154.45997619628906
1752953258.10362,3,-130.42245483398438
1752953271.365853,4,-16.647554397583008
1752953294.654977,5,-170.21189880371094
1752953312.530817,6,-110.65586853027344
1752953332.815285,7,-206.91220092773438
1752953346.685352,8,-91.41421508789062
1752953358.74658,9,-48.20391082763672
1752953393.262584,10,-293.9638977050781
1752953406.522556,11,-82.49018096923828
1752953425.59774,12,-167.9200897216797
1752953444.874215,13,-56.197540283203125
1752953466.160126,14,-146.66677856445312
1752953479.022897,15,-21.6237850189209
1752953503.717903,16,-172.8188018798828
1752953530.424857,17,-262.542236328125
1752953559.318991,18,-240.7451171875
1752953579.206683,19,-171.48406982421875
1752953600.291622,20,-36.412391662597656
1752953611.959557,21,-54.44590759277344
1752953627.426183,22,-82.11055755615234
1752953650.515301,23,-195.15512084960938
1752953669.597521,24,-151.10726928710938
1752953690.279741,25,-82.72676849365234
1752953711.565935,26,-64.84722137451172
1752953723.221774,27,-34.80097198486328
1752953775.186764,28,-325.06494140625
1752953802.687155,29,-216.1374969482422
1752953825.39807,30,-171.329345703125
1752953848.284763,31,-148.25242614746094
1752953867.164294,32,-71.70652770996094
1752953878.819489,33,5.729660987854004
1752953881.857969,34,34.337738037109375
1752953903.549701,35,-178.02549743652344
1752953914.406245,36,-11.633905410766602
1752953933.499988,37,-140.27301025390625
1752953974.235109,38,-187.42041015625
1752953988.321106,39,-40.07243347167969
1752954031.780934,40,-87.32803344726562
1752954091.189766,41,-91.5643310546875
1752954115.289511,42,-48.81462478637695
1752954129.272272,43,-9.623441696166992
1752954166.487521,44,-65.58184814453125
1752954198.369686,45,-33.80083084106445
1752954226.388528,46,-76.61125946044922
1752954251.014349,47,-66.134521484375
1752954266.268793,48,-38.9896240234375
1752954333.542727,49,-78.41372680664062
1752954370.515583,50,-103.25730895996094
1752954402.231943,51,-71.8387222290039
1752954427.442805,52,-60.84857940673828
1752954452.328179,53,-60.509517669677734
1752954487.862609,54,-82.21332550048828
1752954502.141972,55,-36.461483001708984
1752954516.902085,56,-5.767704010009766
1752954549.949989,57,-27.74843406677246
1752954567.803376,58,-58.573219299316406
1752954643.26593,59,-107.26260375976562
1752954713.960729,60,-114.01617431640625
1752954732.741829,61,-35.45092010498047
1752954759.42878,62,-52.44390869140625
1752954830.25408,63,-97.39168548583984
1752954848.733943,64,-55.49833679199219
1752954926.178468,65,-128.2906951904297
1752954947.345666,66,-40.26385498046875
1752955002.670006,67,-38.07448959350586
1752955017.128128,68,-45.48533248901367
1752955067.831565,69,-68.61128234863281
1752955090.920754,70,-44.37802505493164
1752955126.554276,71,-82.09648132324219
1752955143.325295,72,-40.66269302368164
1752955165.026314,73,-25.309337615966797
1752955179.819597,74,-29.476856231689453
1752955206.006954,75,-77.86797332763672
1752955239.644758,76,-31.506284713745117
1752955251.269015,77,-35.473934173583984
1752955278.735324,78,-16.796358108520508
1752955281.44569,79,30.0
1752955341.949381,80,-101.42206573486328
1752955408.306461,81,-12.30130386352539
1752955419.759957,82,-30.880779266357422
1752955483.731945,83,-71.63395690917969
